"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
10,kam documents m asani sy loan mill jata h,7,Passive,No positive reason
9,LOAN TIME PR MIL JATA HAI,10,Promoters,Already recommended to my friends
10,time se loan mill gaya bhot acha laga,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,loan approval jaldi aa jata hain and online process bhi accha hain,10,Promoters,"Customer care service is good|Application Process - Easy, Fast and Convenient"
10,civil score thik hone per loan easily mil jata hai.,10,Promoters,"Application Process - Easy, Fast and Convenient|Overall satisfaction – Everything was ok/without problems"
7,Processing Fees aur Rate of Interest thoda sa kam hona chahiye.,8,Passive,No positive reason|Quick loan approvals / Higher chances of loan getting approved
10,kam documents m loan mill jata h,10,Promoters,I received the loan from HC when I was in need
9,FAST PROCESS HAI,10,Promoters,Customer care service is good
10,EMI ki date acchi hain jis se ki customer ki koi bhi EMI due nhi hoti hain,10,Promoters,"Application Process - Easy, Fast and Convenient"
1,ब्याज बहुत ज्यादा लिया जा रहा है,0,Detractor,No positive reason
7,customer care se  baat karna easy nhi hai.,4,Detractor,No positive reason
10,Loan is available quickly,8,Passive,No positive reason
9,all good,7,Passive,No positive reason
8,Can't get through to customer care,10,Promoters,"Application Process - Easy, Fast and Convenient|Convenient repayment process / collection|Affordable Product & Services - Price, fees and terms"
5,INTEREST RATE IS TOO HIGH,8,Passive,No positive reason|Less Documents required for taking a loan / convenient loan application process
8,Very easy and fast loan available.,9,Promoters,"Application Process - Easy, Fast and Convenient"
7,The interest rate is too high and should be lower.,10,Promoters,"Application Process - Easy, Fast and Convenient|I received the loan from HC when I was in need|Less Documents required for taking a loan / convenient loan application process"
1,customer ka civil accha hone ke baad bhi limit kam mila and amount time par pay kerny k badd bhi extra charges lag gye,2,Detractor,No positive reason
10,emi date late hone par panelty nhi lagti,10,Promoters,Already recommended to my friends
10,Quick loan approvals,10,Promoters,Already recommended to my friends|Overall satisfaction – Everything was ok/without problems
6,The money was received on time,3,Detractor,"Application Process - Easy, Fast and Convenient"
10,"GET LOAN WHEN NEED IT , EASY REPAYMENT PROCESS , MESSAGE \CALL ALERT SERVICE IS SO GOOD",10,Promoters,"Convenient repayment process / collection|I received the loan from HC when I was in need|Customer care service is good|Application Process - Easy, Fast and Convenient|Overall satisfaction – Everything was ok/without problems"
5,late hone per extra charge liya gaya.,8,Passive,Quick loan approvals / Higher chances of loan getting approved
10,all good,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,jada documents nhi lagte ache se copreat karte,10,Promoters,"Less Documents required for taking a loan / convenient loan application process|Application Process - Easy, Fast and Convenient"
9,The money was received on time,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,HOME CREDIT PER BHAROSA KAR K ASANI SY LOAN MILL JATA H,10,Promoters,Less Documents required for taking a loan / convenient loan application process|I received the loan from HC when I was in need
10,The loan got approved quickly but the interest rate is a bit high.,9,Promoters,Quick loan approvals / Higher chances of loan getting approved
8,interest rate thoda kam hona chayia,5,Detractor,No positive reason
10,Quick loan approvals,8,Passive,Easily available in shops / Dealer recommendation
1,"लोन की शर्तो  के बारे में गलत जानकारी दी गई ,ब्याज बहुत ज्यादा लिया जा रहा है",0,Detractor,No positive reason
10,"POSITIVE : GET LOAN WHEN YOU NEED AND TRUSTABLE COMPANY , NEGATIVE : INTEREST RATE IS TOO HIGH",10,Promoters,I received the loan from HC when I was in need|Customer care service is good
10,all good,7,Passive,No positive reason
10,Overall Home Credit के बारे में सब कुछ अच्छा था / सब कुछ ठीक था,10,Promoters,"Application Process - Easy, Fast and Convenient|Overall satisfaction – Everything was ok/without problems"
10,CUSTOMER KO JARURAT KE TIME LOAN MILL GAYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,customer ki two  loan ki emi date same ki gai.,10,Promoters,Less Documents required for taking a loan / convenient loan application process
10,APPROVAL TIMING ACHI LAGI AND EMI K BARY M ACHY SY  BTAYA JATA H ONE MONTH PHLY HE,10,Promoters,Good previous experience / HC resolved my problem
7,High interest rates,4,Detractor,No positive reason
10,overall service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
5,customer care service is not good,7,Passive,No positive reason
10,जल्दी लोन मिल गया,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
8,customer not sespond,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,TIME PR LOAN MIL JATA H,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,I like it because it gives untimely loans.,10,Promoters,Easily available in shops / Dealer recommendation|HC removed my late payment charges/penalty charges
9,Loan Jaldi se mil jata hai aur Time to Time EMI aasani se cut ho jata hai bank se.,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
10,Products can be financed easily with home credit,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,time per loan mil jata hai.,10,Promoters,HC removed my late payment charges/penalty charges
10,The loan will be received on time,10,Promoters,Easily available in shops / Dealer recommendation|Good previous experience / HC resolved my problem
10,jarurat ke time loan mil gaya,10,Promoters,No positive reason
10,HOME CREDIT OFFER LOAN TIME TO TIME,10,Promoters,Less Documents required for taking a loan / convenient loan application process|I received the loan from HC when I was in need
10,jarurat ke time par loan mil jata,8,Passive,No positive reason
10,The work can be done sitting at home and the process is easy. Loan is available immediately.,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,जल्दी लोन मिल गया,10,Promoters,Customer care service is good
10,Everything about home credit is good.,10,Promoters,HC removed my late payment charges/penalty charges|No positive reason
8,Customer Care par call Connect karne me bhut jyada dikkat aati hai.,6,Detractor,No positive reason
8,"If EMI is not paid on time, extra charge is imposed.",10,Promoters,"Application Process - Easy, Fast and Convenient|Already recommended to my friends"
10,LOAN  ASANI SE MILL GAYA,10,Promoters,"Good previous experience / HC resolved my problem|Application Process - Easy, Fast and Convenient"
10,JYADA PAPER WORK NAHI H AND JALDI LOAN APPROVED HO JATA H,10,Promoters,I trust HC / I know this company|I received the loan from HC when I was in need
7,The employee does not have the right way of talking and the interest rate which is told early but they take it monthly should be improved.,6,Detractor,No positive reason
10,time per loan mil jata hai.,9,Promoters,I received the loan from HC when I was in need|Customer care service is good|Overall satisfaction – Everything was ok/without problems
7,Interest rate is high.,10,Promoters,Overall satisfaction – Everything was ok/without problems
8,interest rate kam hona chaiye /  loan amount jada dena chaiye,7,Passive,No positive reason
10,easy fast process hai,10,Promoters,Already recommended to my friends
10,"quick loan approval , you will get instant loan",10,Promoters,"Application Process - Easy, Fast and Convenient|Customer care service is good|I received the loan from HC when I was in need"
9,Quick loan approvals,9,Promoters,Easily available in shops / Dealer recommendation
10,loan approval jaldi aa jata hain,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good
8,INTREST RATE BHOT JYADA LAG RAHA H AND CUSTOMER CARE SY SPORT NAHI MILL PATA H ASANI SY,8,Passive,No positive reason
5,interest rate jayda hai.,7,Passive,No positive reason
10,Service is fast and loan is available on time.,10,Promoters,Overall satisfaction – Everything was ok/without problems
5,emi dene mai late ho jaay toh double charge nhi lage chahiye,7,Passive,"Application Process - Easy, Fast and Convenient"
10,customer service good / jaldi kaam ho jata hai,10,Promoters,Already recommended to my friends
10,quick loan approval and you get loan when you need it,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
8,interest rate thoda kam hona chayia,5,Detractor,No positive reason
9,"Positive:
QUICK LOAN SERVICING IS OFFERED. Negative:
Processing charges are being charged more.",10,Promoters,Overall satisfaction – Everything was ok/without problems
10,Loan is available on time and its service is also good,9,Promoters,Overall satisfaction – Everything was ok/without problems
10,1 or 2 days delay Ayina em  kadu,10,Promoters,HC removed my late payment charges/penalty charges|Easily available in shops / Dealer recommendation
7,INTEREST RATE JAYDA HAI. CALL JAYDA KARTE HAI.,6,Detractor,No positive reason
10,जल्दी लोन मिल गया,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,jarurat ke time par loan mil gaya,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,Loan is available on time but interest is high,10,Promoters,No positive reason
