"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-,Other Choice-Others,"Neutral Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,"Negative Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,Have you had any positive experience in using Home Credit services during the last year?,What specifically pleased you?,Have you had any Negative experience in using Home Credit services during the last year?,What problem(s) was it? Why were you not satisfied?,Please share your suggestions on how Home Credit can improve its products and services.
10,time pr loan mil jata h,10,Promoters,No positive reason,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,No,,No,,interest ko km kiya jaiye
10,get loan when they need,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,get instant loan when they need,No,,no suggestion
8,customer care service is not good,10,Promoters,Good previous experience / HC resolved my problem,,,,No neutral reason,,,No negative reason,,,Yes,jarurat k time par loan mil jata hain,No,,regular customer's ko offer and dicount dena chayia
10,"Nothing much was asked from me in Home Credit, the loan was approved immediately, the service of flexible loan is also very good.",10,Promoters,Overall satisfaction – Everything was ok/without problems|Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,According to the customer the due date of EMI is quite good.,No,,no suggestion
10,Loans are easily available.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,I have good experience with loans.,No,,No Suggestion
8,payment time se nahi kati,10,Promoters,"Application Process - Easy, Fast and Convenient",,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,No,,No,,customer service me call nahi lagti
10,LOAN JALDI APPROVED HO JATA H AND ONLINE SERVICE ACHI LAGI,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,AGAR ONE LOAN PROCESS M H TO AP DUSRA LOAN BHI LY SAKTY  H,Yes,CARD BLOCK  HO GYA EMI TIME PER DENY PER BHI,INTEREST RATE  KAM HONA CHIYE
10,jarurat pr loan mil jata h,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,jarurat pr lom mil jata h,No,,no suggestion
8,there is no contact with customer care,8,Passive,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,flexible loan service is good in home credit,No,,should be contact with customer care and should best services provided by customer care
10,"ONLINE PROCESS HAI , DOCUMENTS KAM LAGTE  , FAST APPLICATION PROCESS",10,Promoters,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,FLEXIBLE LOAN MAI AMOUNT TURANT WITHDRAWL HO JATA,Yes,LICENCE  KYC KARWANA THA  NHI HO PA RAHA THA YE ISSUE AAYA THA,INTEREST RATE JADA HAI
10,process good,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved",,,,No neutral reason,,,No negative reason,,,Yes,jaldi aproval hota hai / turant loan mil jata hai,Yes,rate of interst jada hai,interest rate kam hona chaiye
10,Home Credit se acha loan Offers Milta hai ghar baithe har kaam ho jata hai.,8,Passive,No positive reason,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,No,,No,,No Suggestion
7,customer care se baat nahi Ho paati,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,"The loan facility of Home Credit is very good, money comes into the account immediately as soon as you apply.",No,,"Unable to reach customer service 
interest rate is a bit high"
10,loan approval fast hain,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
10,Untimely loans are available.,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,No,,No,,The loan amount needs to be increased.
7,flexible loan men extra charge kat raha h,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,sahi time pr kist kata h or time pr loan mil jata h,No,,no suggestion
10,quick loan approval service,8,Passive,"No positive reason|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,Others,,no contact with customer care,Yes,overall services are good,No,,should be contact with customer care
10,jarurat ke time par loan mil jata,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,आसान repayment और collection process good customer care service,No,,no suggestion
8,customer ko loan ki all information honi chyai ki uska kitna charges hoga and customer care service bhi acchi honi chayia,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,documents kam lagte hain and loan approval jaldi mil jata hain,No,,extra charge nhi lagne chayia
9,Home Credit me Loan approval bhut jaldi se aata hai.,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,Home Credit me sab kuch acha hai.,Yes,Flexible Loan ke baare me abhi mujhe puri Jaankari samjh nhi aaya hai.,Interest Rate thoda sa kam hona chahiye.
7,Telugu Customer care call not connected,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems,,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,Yes,Overall satisfaction,No,,No suggestions
9,JALDIE LOAN MIL JATA HAI,7,Passive,No positive reason,,,,No neutral reason,,,Slow Application process,,,Yes,JALDIE LOAN MIL GYA,No,,CUSTOBER CARE ME CALL JALDIE CONNECT HONIE CHYIE
4,interest jada hai,4,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,loan turant mil jada hai,Yes,interest jada kat liya flexible loan me,interest jada hai
10,Untimely loans are available.,10,Promoters,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
10,service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,time pe loan mil jatra h,No,,no suggestion
5,loan approval jaldi nhi milta,2,Detractor,No positive reason,,,,No neutral reason,,,Bad service quality / Problems with service/Bad experience,,,Yes,flexible personal loan accha hain,No,,CUSTOMER CARE ki service acchi honi chyaia
8,everything is good = interest rate jayda hai.,9,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,jaldi loan ke liye approval mil jata hai.,No,,interest rate kam kiya jaay.
9,EMI నేను చెల్లించాను కానీ మల్లి కట్ అయింది,7,Passive,Overall satisfaction – Everything was ok/without problems,,,,I don’t like to recommend to anyone.,,,No negative reason,,,Yes,Overall satisfaction,Yes,emi 2 times cut chesaru,EMI Limit takkuva istunnaru
1,"payment by online that shown in the app , had deducted customer extra charges and the information is not give him correctly regarding flexible loan",0,Detractor,No positive reason,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,interest rate is fair,No,,if flexible loan payment not update by online payment then they also can't show online payment in the app
10,fast process kam documents lagte,10,Promoters,"Less Documents required for taking a loan / convenient loan application process|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,jaldi aaproval aata,No,,no suggestion
8,CUSTOMER  CARE SY CONTACT NAHI HO PATA,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,LOAN JALDI APPROVED HO JATA H,No,,CUSTOMER CARE SY CONTACT NAHI HO PATA H
8,Agar kisi ne 3-4 Loan le rkhe hai Home Credit se to ek hi sath me sab kuch jodkar customer ke pass Message kar diya jata hai jabki har Loan ka alag se Details ke sath message aana chahiye.,10,Promoters,No positive reason,,,,"Yes, I will recommend the brand to people I know",,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,Loan aasani se Mill jata hai Home Credit se.,Yes,File Charges bhut jyada laga tha.,Agar kisi ne 3-4 Loan le rkhe hai Home Credit se to ek hi sath me sab kuch jodkar customer ke pass Message kar diya jata hai jabki sabhi ka alag se Details ke sath message aana chahiye aur Processing Fees bhi kam hona chahiye.
10,jarurat pr loan mil kata h,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,agar koi kist ek din late ho jaati hai toh plenty nahi deni parti h,No,,no suggestion
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,कोई कारण नहीं
9,jaldi aproval or processing good,8,Passive,Customer care service is good|Convenient repayment process / collection,,,,No neutral reason,,,No negative reason,,,No,,No,,rate of interest jada hai
7,"positive: flexible loan is good service , negative : no contact with customer care",10,Promoters,Good previous experience / HC resolved my problem|Provide loans to everyone without loan history or credit score,,,,No neutral reason,,,No negative reason,,,Yes,"every information of home credit  regarding loan,  terms and conditions has explain very nicely by executive",Yes,high loan amount not available in home credit,should have big loan amount loan available in home credit and must be a toll free number for direct contact with customer care
10,Home credit services are good.,7,Passive,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,Interest should be reduced.
7,LOAN APPROVAL JALDI MIL JATA HAIN,9,Promoters,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,LOAN APPROVAL JALDI AA JATA HAIN,No,,NO SUGGESTION
8,interest rat jada hai,5,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,Asan application process,No,,interest rat kam hona chahiye
10,JARURAT KE SAMEYA LOAN MIL GYA,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,कोई कारण नहीं
10,need ke according loan mil gaya.,9,Promoters,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,"jaldi approval mil gaya , document process kam hai.",No,,interest rate kam kiya jaay. everything  is good.
1,Customer's EMI is being deducted more and can't even talk to customer executive,0,Detractor,No positive reason,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,No,,No,,"Customer's EMI is being deducted more, the opposite of what was said in the beginning is happening."
8,emi auto debit nahi hui  date over hone par,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,rate of interest jada hai
10,"less documentation  , quick loan approval",10,Promoters,Good previous experience / HC resolved my problem,,,,No neutral reason,,,No negative reason,,,Yes,home credit employees behaviour is so good and after payment of due date they can't apply penalty charges immediately,No,,no suggestion
6,account mein paise rahane ke bavjud bhi bahut jyada message aata hai ki account mein paisa rakhiye,7,Passive,Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,No negative reason,,,Yes,service achi h or response turant milta hai,Yes,meri dikkat thi ki main bike chala raha tha aur phone aya aur maine bola ki 10 minute mein callback karta to lekin o mere sath ache se bat nhi kiye,no suggestion
8,everything is good . time per loan mil jata hai.,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need|Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,jaldi approval mil jata hai.,Yes,late hone per  dabaab dalte hai.,no suggestion.
10,EASY PROCESS HAI,8,Passive,No positive reason,,,,No neutral reason,,,High interest rate|Bad service quality / Problems with service/Bad experience,,,No,,No,,NO SUGGESTION
10,loan approval fast hain,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,document kam lagte hain and interest rate bhi accha hain,No,,no suggestion
7,"We have already paid our EMI, even after that we keep getting call messages regarding payment due, I am very upset.",10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,Easy process of personal loan was done sitting at home,Yes,"I am very responsible with my EMIs. Even after I pay the EMI ahead of time, I get a lot of calls.",There should be only one due date reminder call from Home Credit
10,"positive : repayment and collection process is easy , negative: no contact with customer care",10,Promoters,Convenient repayment process / collection|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,"provide loan offers time to time  , easy payment process  , flexible loan service is so good",Yes,foreclosure of any loan is not available  in home credit,foreclosure of any loan should be available and should contacted with customer care
8,CUSTOMER CARE SE BAAT NHI HO PATI COMMUNICATION NHI HO PATA,9,Promoters,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,Lack of information provided – about terms / procedures,,,Yes,APPROVAL JALDI AAJATA EASY HAI,No,,COMMUNICATION ACHA HONA CHAHIYE CUSTOMER KE SATH
8,Quick loan approvals,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,No suggestions
9,JALDI LOAN MIL GYA,9,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,CUSTOBER KE LIYE INTEREST THODA KAM KIYA JAYE
8,Quick loan approvals,6,Detractor,Overall satisfaction – Everything was ok/without problems,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,Yes,Quick loan approvals,No,,
10,quick loan approval and less documentation,10,Promoters,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
10,FAST PROCESS HAI,10,Promoters,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,FAST PROCESS HAI,No,,NO SUGGESTION
10,Easy finance through home credit,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,"The repayment process is easy, the feature of auto debit is quite good, the only problem is that I am not able to talk to the customer care.",No,,I am not able to talk to the customer care.
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,CUSTOBER KE LIYE INTEREST THODA KAM KIYA JAYE
